o,d
0,1
1,0
0,2
0,3
0,4
0,5
0,6
0,7
7,0
0,8
0,9
9,0
0,10
10,0
0,11
0,12
0,13
13,0
0,14
14,0
0,15
15,0
0,16
0,17
0,18
18,0
0,19
0,20
0,21
0,22
22,0
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
1,2
1,3
1,4
1,5
1,6
1,7
7,1
1,8
1,9
9,1
1,10
10,1
1,11
1,12
1,13
13,1
1,14
14,1
1,15
15,1
1,16
1,17
1,18
18,1
1,19
1,20
1,21
1,22
22,1
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
7,2
9,2
10,2
13,2
14,2
15,2
18,2
22,2
7,3
9,3
10,3
13,3
14,3
15,3
18,3
22,3
7,4
9,4
10,4
13,4
14,4
15,4
18,4
22,4
7,5
9,5
10,5
13,5
14,5
15,5
18,5
22,5
7,6
9,6
10,6
13,6
14,6
15,6
18,6
22,6
7,8
7,9
9,7
7,10
10,7
7,11
7,12
7,13
13,7
7,14
14,7
7,15
15,7
7,16
7,17
7,18
18,7
7,19
7,20
7,21
7,22
22,7
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
9,8
10,8
13,8
14,8
15,8
18,8
22,8
9,10
10,9
9,11
9,12
9,13
13,9
9,14
14,9
9,15
15,9
9,16
9,17
9,18
18,9
9,19
9,20
9,21
9,22
22,9
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
10,11
10,12
10,13
13,10
10,14
14,10
10,15
15,10
10,16
10,17
10,18
18,10
10,19
10,20
10,21
10,22
22,10
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
13,11
14,11
15,11
18,11
22,11
13,12
14,12
15,12
18,12
22,12
13,14
14,13
13,15
15,13
13,16
13,17
13,18
18,13
13,19
13,20
13,21
13,22
22,13
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
14,15
15,14
14,16
14,17
14,18
18,14
14,19
14,20
14,21
14,22
22,14
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
15,16
15,17
15,18
18,15
15,19
15,20
15,21
15,22
22,15
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
18,16
22,16
18,17
22,17
18,19
18,20
18,21
18,22
22,18
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,31
18,32
22,19
22,20
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
